"id","occ","momage","anti","female","childage","hispanic","black","momwork","married","self","pov","antiscore"
1,90,21,1,1,8,0,0,0,0,21,1,15
1,92,21,1,1,8,0,0,0,0,24,1,8
1,94,21,1,1,8,0,0,0,0,23,1,2
2,90,22,0,1,8.416667,0,0,1,0,20,0,6
2,92,22,0,1,8.416667,0,0,1,0,24,0,1
2,94,22,0,1,8.416667,0,0,1,0,24,0,6
3,90,18,5,0,8.083333,0,0,0,1,21,0,94
3,92,18,5,0,8.083333,0,0,0,1,24,0,94
3,94,18,5,0,8.083333,0,0,0,1,24,0,84
4,90,24,2,0,8.25,0,0,0,0,23,0,43
4,92,24,3,0,8.25,0,0,0,0,21,0,65
4,94,24,1,0,8.25,0,0,0,0,21,0,14
5,90,22,1,1,9.333333,0,0,0,0,22,0,8
5,92,22,0,1,9.333333,0,0,0,0,23,0,7
5,94,22,0,1,9.333333,0,0,0,0,24,0,3
6,90,24,1,0,8.583333,0,0,0,0,19,0,10
6,92,24,1,0,8.583333,0,0,0,0,21,0,14
6,94,24,1,0,8.583333,0,0,0,0,24,0,37
7,90,23,3,1,9.25,0,0,1,1,24,0,61
7,92,23,3,1,9.25,0,0,1,1,16,0,62
7,94,23,4,1,9.25,0,0,1,1,13,0,75
8,90,18,4,0,8.5,0,0,0,1,19,0,72
8,92,18,1,0,8.5,0,0,0,1,22,0,16
8,94,18,1,0,8.5,0,0,0,1,16,0,36
9,90,24,1,0,8.083333,0,0,0,0,21,0,28
9,92,24,1,0,8.083333,0,0,0,0,24,0,10
9,94,24,0,0,8.083333,0,0,0,0,20,0,11
10,90,20,4,0,9.166667,0,0,0,1,9,0,88
10,92,20,5,0,9.166667,0,0,0,1,11,0,90
10,94,20,6,0,9.166667,0,0,0,1,24,0,94
11,90,23,3,1,8.833333,0,0,1,1,20,1,50
11,92,23,3,1,8.833333,0,0,1,1,23,0,57
11,94,23,3,1,8.833333,0,0,1,1,18,0,56
12,90,20,3,1,9.166667,1,0,0,1,15,0,60
